@HD	VN:1.6
@SQ	SN:chr1	LN:248956422
@SQ	SN:chr2	LN:242193529
@SQ	SN:chr3	LN:198295559
@SQ	SN:chr4	LN:190214555
@SQ	SN:chr5	LN:181538259
@SQ	SN:chr6	LN:170805979
@SQ	SN:chr7	LN:159345973
@SQ	SN:chr8	LN:145138636
@SQ	SN:chr9	LN:138394717
@SQ	SN:chr10	LN:133797422
@SQ	SN:chr11	LN:135086622
@SQ	SN:chr12	LN:133275309
@SQ	SN:chr13	LN:114364328
@SQ	SN:chr14	LN:107043718
@SQ	SN:chr15	LN:101991189
@SQ	SN:chr16	LN:90338345
@SQ	SN:chr17	LN:83257441
@SQ	SN:chr18	LN:80373285
@SQ	SN:chr19	LN:58617616
@SQ	SN:chr20	LN:64444167
@SQ	SN:chr21	LN:46709983
@SQ	SN:chr22	LN:50818468
@SQ	SN:chrX	LN:156040895
@SQ	SN:chrY	LN:57227415
Target	gc_bias	mappability	reptiming	Gene	on_target
chr1:501-200107	0.442361406997112	NA	NA	.	FALSE
chr1:200108-399715	0.439874307284555	NA	NA	.	FALSE
chr1:399716-599322	0.42034129419078	NA	NA	.	FALSE
chr1:599323-798930	0.427668229730271	NA	NA	.	FALSE
chr1:798931-998538	0.532333373411887	NA	NA	.	FALSE
chr1:999039-999245	0.811594202898551	NA	NA	HES4	TRUE
chr1:999246-999452	0.758454106280193	NA	NA	HES4	TRUE
chr1:999506-999633	0.71875	NA	NA	HES4	TRUE
chr1:999672-999993	0.732919254658385	NA	NA	HES4	TRUE
chr1:1000494-1191549	0.611396658571309	NA	NA	.	FALSE
chr1:1191550-1382606	0.621767325981252	NA	NA	.	FALSE
chr1:1382607-1573663	0.567354245068226	NA	NA	.	FALSE
chr1:1573664-1764720	0.557540419874697	NA	NA	.	FALSE
chr1:1764721-1955777	0.508146783420655	NA	NA	.	FALSE
chr1:1955778-2146834	0.565715990515919	NA	NA	.	FALSE
chr1:2146835-2337891	0.588824277571615	NA	NA	.	FALSE
chr1:2337892-2528948	0.602924781609677	NA	NA	.	FALSE
chr1:2529449-2529769	0.781931464174455	NA	NA	HES5	TRUE
chr1:2529826-2530031	0.660194174757282	NA	NA	HES5	TRUE
chr1:2530088-2530187	0.65	NA	NA	HES5	TRUE
chr1:2530688-2556105	0.627390038555354	NA	NA	.	FALSE
chr1:2556606-2556727	0.639344262295082	NA	NA	TNFRSF14	TRUE
chr1:2559790-2559911	0.663934426229508	NA	NA	TNFRSF14	TRUE
chr1:2560412-2749183	0.585324549265814	NA	NA	.	FALSE
chr1:2749184-2937955	0.580854152098828	NA	NA	.	FALSE
chr1:2937956-3126727	0.557826372555252	NA	NA	.	FALSE
chr1:3126728-3315499	0.569014472485326	NA	NA	.	FALSE
chr1:3315500-3504271	0.58136270209565	NA	NA	.	FALSE
chr1:3504272-3693043	0.595316042633441	NA	NA	.	FALSE
chr1:3693044-3881815	0.539979446104295	NA	NA	.	FALSE
chr1:3881816-4070588	0.50496098488661	NA	NA	.	FALSE
chr1:4071089-4071289	0.427860696517413	NA	NA	.	TRUE
