#Chr	Start	End	Gene	CDS_mutation_syntax	AA_mutation_syntax	Report	comment	Exon	Accession_number
NC_000001.10	115252202	115252202	NRAS	c.C438	p.A146	hotspot	-	exon4	NM_002524
NC_000001.10	115252203	115252203	NRAS	c.C437	p.A146	hotspot	-	exon4	NM_002524
NC_000001.10	115252204	115252204	NRAS	c.G436	p.A146	hotspot	-	exon4	NM_002524
NC_000001.10	115252289	115252289	NRAS	c.G351	p.K117	hotspot	-	exon4	NM_002524
NC_000001.10	115252290	115252290	NRAS	c.A350	p.K117	hotspot	-	exon4	NM_002524
NC_000001.10	115252291	115252291	NRAS	c.A349	p.K117	hotspot	-	exon4	NM_002524
NC_000001.10	115256518	115256518	NRAS	c.A193	p.S65	region	-	exon3	NM_002524
NC_000001.10	115256528	115256528	NRAS	c.A183	p.Q61	hotspot	-	exon3	NM_002524
NC_000001.10	115256529	115256529	NRAS	c.A182	p.Q61	hotspot	-	exon3	NM_002524
NC_000001.10	115256530	115256530	NRAS	c.C181	p.Q61	hotspot	-	exon3	NM_002524
NC_000001.10	115256531	115256531	NRAS	c.A180	p.G60	hotspot	-	exon3	NM_002524
NC_000001.10	115256532	115256532	NRAS	c.G179	p.G60	region	-	exon3	NM_002524
NC_000001.10	115256534	115256534	NRAS	c.T177	p.A59	hotspot	-	exon3	NM_002524
NC_000001.10	115256535	115256535	NRAS	c.C176	p.A59	hotspot	-	exon3	NM_002524
NC_000001.10	115256536	115256536	NRAS	c.G175	p.A59	hotspot	-	exon3	NM_002524
NC_000001.10	115256537	115256537	NRAS	c.A174	p.T58	region	-	exon3	NM_002524
NC_000001.10	115256538	115256538	NRAS	c.C173	p.T58	region	-	exon3	NM_002524
NC_000001.10	115256539	115256539	NRAS	c.A172	p.T58	region	-	exon3	NM_002524
NC_000001.10	115258730	115258730	NRAS	c.G52	p.A18	region	-	exon2	NM_002524
NC_000001.10	115258743	115258743	NRAS	c.T39	p.G13	hotspot	-	exon2	NM_002524
NC_000001.10	115258744	115258744	NRAS	c.G38	p.G13	hotspot	-	exon2	NM_002524
NC_000001.10	115258745	115258745	NRAS	c.G37	p.G13	hotspot	-	exon2	NM_002524
NC_000001.10	115258746	115258746	NRAS	c.T36	p.G12	hotspot	-	exon2	NM_002524
NC_000001.10	115258747	115258747	NRAS	c.G35	p.G12	hotspot	-	exon2	NM_002524
NC_000001.10	115258748	115258748	NRAS	c.G34	p.G12	hotspot	-	exon2	NM_002524
NC_000001.10	115258751	115258751	NRAS	c.G31	p.A11	region	-	exon2	NM_002524
NC_000001.10	226252134	226252134	H3F3A	c.A82	p.K28	hotspot	-	exon3	NM_001379043
NC_000001.10	226252135	226252135	H3F3A	c.A83	p.K28	hotspot	-	exon3	NM_001379043
NC_000001.10	226252136	226252136	H3F3A	c.G84	p.K28	hotspot	-	exon3	NM_001379043
NC_000002.11	29432682	29432682	ALK	c.G3806	p.G1269	region_all	resistance_mutation	exon25	NM_004304
NC_000002.11	29443613	29443613	ALK	c.G3604	p.G1202	region_all	resistance_mutation	exon23	NM_004304
NC_000002.11	29443631	29443631	ALK	c.C3586	p.L1196	region_all	resistance_mutation	exon23	NM_004304
NC_000002.11	29443695	29443695	ALK	c.C3522	p.F1174	region_all	resistance_mutation	exon23	NM_004304
NC_000002.11	29443696	29443696	ALK	c.T3521	p.F1174	region_all	resistance_mutation	exon23	NM_004304
NC_000002.11	29443697	29443697	ALK	c.T3520	p.F1174	region_all	resistance_mutation	exon23	NM_004304
NC_000002.11	29445213	29445213	ALK	c.T3512	p.I1171	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	29445258	29445258	ALK	c.G3467	p.C1156	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	29445269	29445269	ALK	c.G3456	p.L1152	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	29445270	29445270	ALK	c.T3455	p.L1152	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	29445271	29445271	ALK	c.C3454	p.L1152	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	29445272	29445272	ALK	c.G3453	p.T1151	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	29445273	29445273	ALK	c.C3452	p.T1151	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	29445274	29445274	ALK	c.A3451	p.T1151	region_all	resistance_mutation	exon22	NM_004304
NC_000002.11	209113111	209113111	IDH1	c.T396	p.R132	hotspot	-	exon4	NM_001282387
NC_000002.11	209113112	209113112	IDH1	c.G395	p.R132	hotspot	-	exon4	NM_001282387
NC_000002.11	209113113	209113113	IDH1	c.A394	p.R132	hotspot	-	exon4	NM_001282387
NC_000003.11	38182640	38182640	MYD88	c.C793	p.L265	hotspot	-	exon5	NM_002468
NC_000003.11	38182641	38182641	MYD88	c.T794	p.L265	hotspot	-	exon5	NM_002468
NC_000003.11	38182642	38182642	MYD88	c.G795	p.L265	hotspot	-	exon5	NM_002468
NC_000003.11	178916791	178916791	PIK3CA	c.C178	p.Q60	region	-	exon2	NM_006218
NC_000003.11	178916836	178916836	PIK3CA	c.C223	p.Q75	region	-	exon2	NM_006218
NC_000003.11	178916851	178916851	PIK3CA	c.G238	p.E80	region	-	exon2	NM_006218
NC_000003.11	178916854	178916854	PIK3CA	c.G241	p.E81	region	-	exon2	NM_006218
NC_000003.11	178916876	178916876	PIK3CA	c.G263	p.R88	region	-	exon2	NM_006218
NC_000003.11	178916934	178916934	PIK3CA	c.C321	p.N107	region	-	exon2	NM_006218
NC_000003.11	178916935	178916935	PIK3CA	c.C322	p.R108	region	-	exon2	NM_006218
NC_000003.11	178916936	178916936	PIK3CA	c.G323	p.R108	region	-	exon2	NM_006218
NC_000003.11	178916938	178916938	PIK3CA	c.G325	p.E109	region	-	exon2	NM_006218
NC_000003.11	178916939	178916939	PIK3CA	c.A326	p.E109	region	-	exon2	NM_006218
NC_000003.11	178916940	178916940	PIK3CA	c.A327	p.E109	region	-	exon2	NM_006218
NC_000003.11	178916941	178916941	PIK3CA	c.G328	p.E110	region	-	exon2	NM_006218
NC_000003.11	178916944	178916944	PIK3CA	c.A331	p.K111	region	-	exon2	NM_006218
NC_000003.11	178916945	178916945	PIK3CA	c.A332	p.K111	region	-	exon2	NM_006218
NC_000003.11	178916946	178916946	PIK3CA	c.G333	p.K111	region	-	exon2	NM_006218
NC_000003.11	178916947	178916947	PIK3CA	c.A334	p.I112	region	-	exon2	NM_006218
NC_000003.11	178916948	178916948	PIK3CA	c.T335	p.I112	region	-	exon2	NM_006218
NC_000003.11	178916949	178916949	PIK3CA	c.C336	p.I112	region	-	exon2	NM_006218
NC_000003.11	178916950	178916950	PIK3CA	c.C337	p.L113	region	-	exon2	NM_006218
NC_000003.11	178916951	178916951	PIK3CA	c.T338	p.L113	region	-	exon2	NM_006218
NC_000003.11	178916952	178916952	PIK3CA	c.C339	p.L113	region	-	exon2	NM_006218
NC_000003.11	178916953	178916953	PIK3CA	c.A340	p.N114	region	-	exon2	NM_006218
NC_000003.11	178916954	178916954	PIK3CA	c.A341	p.N114	region	-	exon2	NM_006218
NC_000003.11	178916955	178916955	PIK3CA	c.T342	p.N114	region	-	exon2	NM_006218
NC_000003.11	178916956	178916956	PIK3CA	c.C343	p.R115	region	-	exon2	NM_006218
NC_000003.11	178916957	178916957	PIK3CA	c.G344	p.R115	region	-	exon2	NM_006218
NC_000003.11	178921489	178921489	PIK3CA	c.C971	p.T324	region	-	exon5	NM_006218
NC_000003.11	178921549	178921549	PIK3CA	c.T1031	p.V344	region	-	exon5	NM_006218
NC_000003.11	178921553	178921553	PIK3CA	c.T1035	p.N345	region	-	exon5	NM_006218
NC_000003.11	178927451	178927451	PIK3CA	c.C1214	p.S405	region	-	exon7	NM_006218
NC_000003.11	178927458	178927458	PIK3CA	c.C1221	p.C407	region	-	exon7	NM_006218
NC_000003.11	178927974	178927974	PIK3CA	c.G1252	p.E418	region	-	exon8	NM_006218
NC_000003.11	178927980	178927980	PIK3CA	c.T1258	p.C420	hotspot	-	exon8	NM_006218
NC_000003.11	178927981	178927981	PIK3CA	c.G1259	p.C420	hotspot	-	exon8	NM_006218
NC_000003.11	178927982	178927982	PIK3CA	c.T1260	p.C420	hotspot	-	exon8	NM_006218
NC_000003.11	178928079	178928079	PIK3CA	c.G1357	p.E453	region	-	exon8	NM_006218
NC_000003.11	178928080	178928080	PIK3CA	c.A1358	p.E453	region	-	exon8	NM_006218
NC_000003.11	178928093	178928093	PIK3CA	c.C1371	p.N457	region	-	exon8	NM_006218
NC_000003.11	178928118	178928118	PIK3CA	c.C1396	p.P466	region	-	exon8	NM_006218
NC_000003.11	178935998	178935998	PIK3CA	-	-	region	-	exon10	NM_006218
NC_000003.11	178935999	178935999	PIK3CA	-	-	region	-	exon10	NM_006218
NC_000003.11	178936000	178936000	PIK3CA	-	-	region	-	exon10	NM_006218
NC_000003.11	178936001	178936001	PIK3CA	-	-	region	-	exon10	NM_006218
NC_000003.11	178936002	178936002	PIK3CA	-	-	region	-	exon10	NM_006218
NC_000003.11	178936003	178936003	PIK3CA	-	-	region	-	exon10	NM_006218
NC_000003.11	178936004	178936004	PIK3CA	-	-	region	-	exon10	NM_006218
NC_000003.11	178936005	178936005	PIK3CA	-	-	region	-	exon10	NM_006218
