#Chr	Start	End	Gene	CDS_mutation_syntax	AA_mutation_syntax	Report	comment	Exon	Accession_number
NC_000001.10	115252190	115252349	NRAS	-	-	indel	-	exon4	NM_002524
NC_000001.10	115252202	115252202	NRAS	c.C438	p.A146	hotspot	-	exon4	NM_002524
NC_000001.10	115252203	115252203	NRAS	c.C437	p.A146	hotspot	-	exon4	NM_002524
NC_000001.10	115252204	115252204	NRAS	c.G436	p.A146	hotspot	-	exon4	NM_002524
NC_000001.10	115252289	115252289	NRAS	c.G351	p.K117	hotspot	-	exon4	NM_002524
NC_000001.10	115252290	115252290	NRAS	c.A350	p.K117	hotspot	-	exon4	NM_002524
NC_000001.10	115252291	115252291	NRAS	c.A349	p.K117	hotspot	-	exon4	NM_002524
NC_000001.10	115256421	115256599	NRAS	-	-	indel	-	exon3	NM_002524
NC_000001.10	115256518	115256518	NRAS	c.A193	p.S65	region	-	exon3	NM_002524
NC_000001.10	115256528	115256528	NRAS	c.A183	p.Q61	hotspot	-	exon3	NM_002524
NC_000001.10	115256529	115256529	NRAS	c.A182	p.Q61	hotspot	-	exon3	NM_002524
NC_000001.10	115256530	115256530	NRAS	c.C181	p.Q61	hotspot	-	exon3	NM_002524
NC_000001.10	115256531	115256531	NRAS	c.A180	p.G60	hotspot	-	exon3	NM_002524
NC_000001.10	115256532	115256532	NRAS	c.G179	p.G60	region	-	exon3	NM_002524
NC_000001.10	115256534	115256534	NRAS	c.T177	p.A59	hotspot	-	exon3	NM_002524
NC_000001.10	115256535	115256535	NRAS	c.C176	p.A59	hotspot	-	exon3	NM_002524
NC_000001.10	115256536	115256536	NRAS	c.G175	p.A59	hotspot	-	exon3	NM_002524
NC_000001.10	115256537	115256537	NRAS	c.A174	p.T58	region	-	exon3	NM_002524
NC_000001.10	115256538	115256538	NRAS	c.C173	p.T58	region	-	exon3	NM_002524
NC_000001.10	115256539	115256539	NRAS	c.A172	p.T58	region	-	exon3	NM_002524
NC_000001.10	115258671	115258798	NRAS	-	-	indel	-	exon2	NM_002524
NC_000001.10	115258730	115258730	NRAS	c.G52	p.A18	region	-	exon2	NM_002524
NC_000001.10	115258743	115258743	NRAS	c.T39	p.G13	hotspot	-	exon2	NM_002524
NC_000001.10	115258744	115258744	NRAS	c.G38	p.G13	hotspot	-	exon2	NM_002524
NC_000001.10	115258745	115258745	NRAS	c.G37	p.G13	hotspot	-	exon2	NM_002524
NC_000001.10	115258746	115258746	NRAS	c.T36	p.G12	hotspot	-	exon2	NM_002524
NC_000001.10	115258747	115258747	NRAS	c.G35	p.G12	hotspot	-	exon2	NM_002524
NC_000001.10	115258748	115258748	NRAS	c.G34	p.G12	hotspot	-	exon2	NM_002524
NC_000001.10	115258751	115258751	NRAS	c.G31	p.A11	region	-	exon2	NM_002524
NC_000004.11	55592023	55592023	KIT	-	p.449	region_all	-	exon9	NM_000222
NC_000004.11	55592024	55592024	KIT	-	p.450	region_all	-	exon9	NM_000222
NC_000004.11	55592025	55592025	KIT	-	p.450	region_all	-	exon9	NM_000222
NC_000004.11	55592026	55592026	KIT	-	p.450	region_all	-	exon9	NM_000222
NC_000004.11	55592027	55592027	KIT	-	p.451	region_all	-	exon9	NM_000222
NC_000004.11	55592028	55592028	KIT	-	p.451	region_all	-	exon9	NM_000222
NC_000004.11	55592029	55592029	KIT	-	p.451	region_all	-	exon9	NM_000222
NC_000004.11	55592030	55592030	KIT	-	p.452	region_all	-	exon9	NM_000222
NC_000004.11	55592031	55592031	KIT	-	p.452	region_all	-	exon9	NM_000222
NC_000004.11	55592032	55592032	KIT	-	p.452	region_all	-	exon9	NM_000222
NC_000004.11	55592033	55592033	KIT	-	p.453	region_all	-	exon9	NM_000222
NC_000004.11	55592034	55592034	KIT	-	p.453	region_all	-	exon9	NM_000222
NC_000004.11	55592035	55592035	KIT	-	p.453	region_all	-	exon9	NM_000222
NC_000004.11	55592036	55592036	KIT	-	p.454	region_all	-	exon9	NM_000222
NC_000004.11	55592037	55592037	KIT	-	p.454	region_all	-	exon9	NM_000222
NC_000004.11	55592038	55592038	KIT	-	p.454	region_all	-	exon9	NM_000222
NC_000004.11	55592039	55592039	KIT	-	p.455	region_all	-	exon9	NM_000222
NC_000004.11	55592040	55592040	KIT	-	p.455	region_all	-	exon9	NM_000222
NC_000004.11	55592041	55592041	KIT	-	p.455	region_all	-	exon9	NM_000222
NC_000004.11	55592042	55592042	KIT	-	p.456	region_all	-	exon9	NM_000222
NC_000004.11	55592043	55592043	KIT	-	p.456	region_all	-	exon9	NM_000222
NC_000004.11	55592044	55592044	KIT	-	p.456	region_all	-	exon9	NM_000222
NC_000004.11	55592045	55592045	KIT	-	p.457	region_all	-	exon9	NM_000222
NC_000004.11	55592046	55592046	KIT	-	p.457	region_all	-	exon9	NM_000222
NC_000004.11	55592047	55592047	KIT	-	p.457	region_all	-	exon9	NM_000222
NC_000004.11	55592048	55592048	KIT	-	p.458	region_all	-	exon9	NM_000222
NC_000004.11	55592049	55592049	KIT	-	p.458	region_all	-	exon9	NM_000222
